"X.EMPTY.","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA.","osoite_paikkakunta","lat","lon"
814,"Alepa","Hiihtomäentie 14",810,"Helsinki","Länsi-Herttoniemi",NA,"Ruokakaupat","Hiihtomäentie 14,Helsinki","60.1949299","25.0297379"
815,"Alepa","Pohjoinen Hesperiankatu 5",260,"Helsinki","Taka-Töölö",NA,"Ruokakaupat","Pohjoinen Hesperiankatu 5,Helsinki","60.1777972","24.9276191"
816,"Alepa","Hämeentie 25",500,"Helsinki","Sörnäinen",NA,"Ruokakaupat","Hämeentie 25,Helsinki","60.187065","24.9617547"
817,"Alepa","Iso Roobertinkatu 21-25",120,"Helsinki","Punavuori",NA,"Ruokakaupat","Iso Roobertinkatu 21-25,Helsinki","60.1617163","24.9370491"
818,"Alepa","Castreninkatu 9-11",530,"Helsinki","Linjat",NA,"Ruokakaupat","Castreninkatu 9-11,Helsinki","60.185035","24.9470087"
819,"Alepa","Salomonkatu 19",100,"Helsinki","Kamppi",NA,"Ruokakaupat","Salomonkatu 19,Helsinki","60.1682062","24.9279085"
820,"Alepa","Vanhaistentie 1",420,"Helsinki","Kannelmäki",NA,"Ruokakaupat","Vanhaistentie 1,Helsinki","60.2410024","24.8853761"
821,"Alepa","Merisotilaantori 1",160,"Helsinki","Katajanokka",NA,"Ruokakaupat","Merisotilaantori 1,Helsinki","60.16781025","24.9751581308255"
822,"Alepa","Mannerheimintie 76",250,"Helsinki","Taka-Töölö",NA,"Ruokakaupat","Mannerheimintie 76,Helsinki","60.185057","24.9218182"
823,"Alepa","Kontulankaari 8",940,"Helsinki","Kontula",NA,"Ruokakaupat","Kontulankaari 8,Helsinki","60.2399229","25.0741278051254"
824,"Alepa","Kirkkokatu 2",170,"Helsinki","Kruununhaka",NA,"Ruokakaupat","Kirkkokatu 2,Helsinki","60.1709233","24.9594842"
825,"Alepa","Kyösti Kallion tie 2",570,"Helsinki","Kulosaari",NA,"Ruokakaupat","Kyösti Kallion tie 2,Helsinki","60.1860091","25.0116864"
826,"Alepa","Koskelantie 19 B",610,"Helsinki","Käpylä",NA,"Ruokakaupat","Koskelantie 19 B,Helsinki","60.2087899","24.9463186"
827,"Alepa","Yliskyläntie 3",840,"Helsinki","Yliskylä",NA,"Ruokakaupat","Yliskyläntie 3,Helsinki","60.1801784","25.0529845"
828,"Alepa","Lönnrotinkatu 24",180,"Helsinki","Kamppi",NA,"Ruokakaupat","Lönnrotinkatu 24,Helsinki","60.1672858","24.9411575"
829,"Alepa","Mannerheimintie 102",250,"Helsinki","Taka-Töölö",NA,"Ruokakaupat","Mannerheimintie 102,Helsinki","60.1890333","24.9169815"
830,"Alepa","Metsäpurontie 23",630,"Helsinki","Maunula",NA,"Ruokakaupat","Metsäpurontie 23,Helsinki","60.2280914","24.9269269"
831,"Alepa","Korvatunturintie 2",970,"Helsinki","Mellunmäki",NA,"Ruokakaupat","Korvatunturintie 2,Helsinki","60.2370758","25.1181987"
832,"Alepa","Munkkiniemen Puistotie 20",330,"Helsinki","Vanha Munkkiniemi",NA,"Ruokakaupat","Munkkiniemen Puistotie 20,Helsinki","60.1975987","24.8773211"
833,"Alepa","Solnantie 35",330,"Helsinki","Vanha Munkkiniemi",NA,"Ruokakaupat","Solnantie 35,Helsinki","60.198082","24.879799"
834,"Alepa","Kylänvanhimmantie 29",640,"Helsinki","Oulunkylä",NA,"Ruokakaupat","Kylänvanhimmantie 29,Helsinki","60.228493","24.9635345"
