"tyyppi","lat","lon","osoite","nimi"
"Ruokakaupat","60.2428003","24.9935444707105","Säterintie 2,Helsinki","Alepa"
"Ruokakaupat","60.2021822","25.0586895","Roihuvuorentie 26,Helsinki","Alepa"
"Ruokakaupat","60.1814822","24.9261397","Runeberginkatu 58,Helsinki","Alepa"
"Ruokakaupat","60.2395955","24.8756328","Sitratie 7,Helsinki","Alepa"
"Ruokakaupat","60.1937987","24.9559802","Sturenkatu 27,Helsinki","Alepa"
"Ruokakaupat","60.1961034","24.9597815","Sturenkatu 40,Helsinki","Alepa"
"Ruokakaupat","60.1786171","24.9246978","Töölöntorinkatu 6,Helsinki","Alepa"
"Ruokakaupat","60.1594262","24.945328","Vuorimiehenkatu 29,Helsinki","Alepa"
"Ruokakaupat","60.1918098","24.9621156","Mäkelänkatu 11,Helsinki","Alepa"
"Ruokakaupat","60.2186313","25.1034334","Vartiokyläntie 3,Helsinki","Alepa"
"Ruokakaupat","60.1794368","24.9533082","Viherniemenkatu 9,Helsinki","Alepa"
"Ruokakaupat","60.1605623","24.9411704","Pursimiehenkatu 4-6,Helsinki","Alepa"
"Ruokakaupat","60.2107043","25.1375169","Ulappasaarentie 2,Helsinki","Alepa"
"Ruokakaupat","60.2140795","25.0834525","Korsholmantie 2,Helsinki","Alepa"
"Ruokakaupat","60.1740019","24.9549188","Liisankatu 14,Helsinki","Alepa"
"Ruokakaupat","60.2185654","24.9667253","Antti Korpin tie 3,Helsinki","Alepa"
"Ruokakaupat","60.1690528","24.9478405","Aleksanterinkatu 9,Helsinki","Alepa"
"Ruokakaupat","60.2251813","25.1679698","Rahtarinkatu 2,Helsinki","Alepa"
"Ruokakaupat","60.2541043","24.9534154047993","Ohrahuhdantie 8,Helsinki","Alepa"
"Ruokakaupat","60.26732015","25.0137899585982","Kotinummentie 68,Helsinki","Alepa"
"Ruokakaupat","60.1641245","24.9228409","Ruoholahdenkatu 23,Helsinki","Alepa"
"Ruokakaupat","60.174477","24.9218802","Runeberginkatu 28,Helsinki","Alepa"
"Ruokakaupat","60.207118","25.0391224","Kettutie 2,Helsinki","Alepa"
"Ruokakaupat","60.1694564","24.9385667","Mannerheimintie 20,Helsinki","Alepa"
"Ruokakaupat",NA,NA,"Puustellinkuja 2,Helsinki","Alepa"
"Ruokakaupat","60.262888","25.0276802","Seunalantie 4,Helsinki","Alepa"
"Ruokakaupat","60.22705385","25.027713694672","Norkkokuja 3,Helsinki","Alepa"
"Ruokakaupat","60.3101114","25.0311467","Leinikkitie 22,Vantaa","Alepa"
"Ruokakaupat","60.3232179","25.0627005","Koivukylän Puistotie 1,Vantaa","Alepa"
"Ruokakaupat","60.24484405","25.10943425","Kuulakuja 5,Vantaa","Alepa"
"Ruokakaupat","60.243121","25.1117392","Kilpakuja 1,Vantaa","Alepa"
"Ruokakaupat","60.2844531","25.1217565","Nissaksentie 1,Vantaa","Alepa"
"Ruokakaupat","60.2604979","24.8322618","Nuijatie 12,Vantaa","Alepa"
"Ruokakaupat","60.2765802","24.8476809","Laajaniityntie 2,Vantaa","Alepa"
"Ruokakaupat","60.3163194","24.9672702","Lentäjäntie 3,Vantaa","Alepa"
"Ruokakaupat","60.2847805","24.9594413","Hagelstamintie 32,Vantaa","Alepa"
"Ruokakaupat","60.324378","25.0242011","Koivukylänväylä 66,Vantaa","Alepa"
"Baarit ja yökerhot","60.16948605","24.9400033915131","Mannerheimintie 5,Helsinki","Alepub"
"Vaatekaupat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Alfa Moda"
"Alkot","60.1493709","24.6548564","Espoonlahdenkatu 4,Espoo","Alko"
"Alkot","60.1620733","24.7375304","Piispansilta 11,Espoo","Alko"
"Alkot","60.2188216","24.8128941","Leppävaarankatu 3-9,Espoo","Alko"
"Alkot","60.2043368","24.7631391","Sinikalliontie 1-3,Espoo","Alko"
"Alkot","60.1695185","24.760176","Niittykummuntie 2,Espoo","Alko"
"Alkot","60.1663462","24.7327114","Komeetankatu 2,Espoo","Alko"
"Alkot","60.2035124","24.6590606","Siltakatu 11,Espoo","Alko"
"Alkot","60.2414761","24.738987","Lähderanta 1,Espoo","Alko"
"Alkot","60.1771023","24.8051735018373","Tapionaukio 4,Espoo","Alko"
"Alkot","60.2023667","24.9679041","Hämeentie 109-111 B 9,Helsinki","Alko"
"Alkot","60.1707201","24.9351274","Salomonkatu 1,Helsinki","Alko"
"Alkot","60.1609766","24.9301797","Hietalahdenranta 5,Helsinki","Alko"
"Alkot","60.18033635","24.9488999941326","Siltasaarenkatu 18-20,Helsinki","Alko"
"Alkot","60.1943406","25.0343356","Insinöörinkatu 2,Helsinki","Alko"
"Alkot","60.196316","24.9359993","Ratapihantie 3,Helsinki","Alko"
"Alkot","60.209656","25.0852176","Kauppakartanonkatu 3,Helsinki","Alko"
"Alkot","60.1873754","24.9551553","Helsinginkatu 15,Helsinki","Alko"
"Alkot","60.2373166","24.8908148","Kantelettarentie 1,Helsinki","Alko"
"Alkot","60.166784","24.9495608","Fabianinkatu 9-11,Helsinki","Alko"
"Alkot","60.2373006","25.0848435","Ostostie 4,Helsinki","Alko"
"Alkot","60.1746436","24.9595779","Maurinkatu 8-12,Helsinki","Alko"
"Alkot","60.2214133","24.9476706","Panuntie 11,Helsinki","Alko"
"Alkot","60.2508523","25.0121269","Ala-Malmin tori 5,Helsinki","Alko"
"Alkot","60.1906162","24.9115328","Topeliuksenkatu 43,Helsinki","Alko"
"Alkot","60.2060944","24.8782475","Raumantie 1,Helsinki","Alko"
"Alkot","60.2175926","24.8697337","Takomotie 33,Helsinki","Alko"
"Alkot","60.1636203","24.9119067","Itämerenkatu 21,Helsinki","Alko"
"Alkot","60.1916307","24.912036","Mannerheimintie 9,Helsinki","Alko"
"Alkot","60.1786758","24.9238768","Sandelsinkatu 4,Helsinki","Alko"
"Alkot","60.159391","24.9437001","Vuorimiehenkatu 33,Helsinki","Alko"
"Alkot","60.2070072","25.1456118","Vuotie 45,Helsinki","Alko"
"Alkot","60.1681157","24.9421009","Aleksanterinkatu 52,Helsinki","Alko"
"Alkot",NA,NA,"Itäkatu 1-5 B 61,Helsinki","Alko"
"Alkot","60.2354465","24.9297356","Pakilantie 46-48,Helsinki","Alko"
"Alkot","60.2390251","24.8499253","Ajomiehentie 1,Helsinki","Alko"
"Alkot","60.21360305","25.0880133121173","Vanhanlinnantie 1,Helsinki","Alko"
"Alkot","60.1694564","24.9385667","Mannerheimintie 20,Helsinki","Alko"
"Alkot","60.227476","25.00945","Viikintori 3,Helsinki","Alko"
"Alkot","60.2097836","24.729884","Kauniaistentie 7,Kauniainen","Alko"
"Alkot","60.2925143","24.9619895","Vantaanportinkatu 3,Vantaa","Alko"
"Alkot","60.2926671","24.9646104","Valuuttakatu 2,Vantaa","Alko"
"Alkot","60.3503301","25.0792257","Minkkikuja 4,Vantaa","Alko"
"Alkot","60.2608563","24.8543158","Iskoskuja 3,Vantaa","Alko"
"Alkot","60.2223276","24.87614","Valimotie 9,Vantaa","Alko"
"Alkot","60.2937523","25.031647","Peltolantie 1,Vantaa","Alko"
"Alkot","60.2710281","24.804991","Ainontie 1,Vantaa","Alko"
"Alkot","60.3189332","24.9682958","Helsinki-Vantaan Lentoasema,Vantaa","Alko"
"Alkot","60.32445005","25.0578136013667","Ojalehdonkuja 1,Vantaa","Alko"
"Apteekit","60.1863806","24.9503615","Helsinginkatu 24,Helsinki","Alppilan apteekki"
"Ravintolat","60.1698892","24.945742","Mikonkatu 9,Helsinki","Amarillo"
"Ravintolat","60.2906178","25.0416459","Hertaksentie 2,Vantaa","Amarillo"
"Ravintolat","60.2904181","24.9701397","Tasetie 8,Vantaa","Amarillo"
"Ravintolat","60.158344","24.9493836","Tehtaankatu 12,Helsinki","Amigo"
"Vaatekaupat","60.1635075","24.9350548","Bulevardi 30,Helsinki","Amoena"
"Museot","60.1916307","24.912036","Mannerheimintie 20 A,Helsinki","Amos Andersonin taidemuseo"
"Vaatekaupat","60.2153201","25.0904251","Vanhanlinnantie 3 C,Helsinki","Anetta"
"Vaatekaupat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Anne Linnonmaa- ecological fashion"
"Lahjatavarakaupat","60.172146","24.9256642","Fredrikinkatu 68,Helsinki","Annensoppi"
"Sekatavarakaupat","60.1495148","24.6558294","Espoonlahdenkatu 4-6,Espoo","Anttila"
"Sekatavarakaupat","60.2188216","24.8128941","Leppävaarankatu 3-9,Espoo","Anttila"
"Sekatavarakaupat","60.2092277","25.0763207","Itäkatu 3-5,Helsinki","Anttila"
"Sekatavarakaupat","60.1695901","24.9318197","Salomonkatu 13,Helsinki","Anttila"
"Sekatavarakaupat","60.1700365","24.9415097","Kaivokatu 8,Helsinki","Anttila"
"Sekatavarakaupat","60.2925143","24.9619895","Vantaanportinkatu 3,Vantaa","Anttila"
"Sekatavarakaupat","60.2608563","24.8543158","Iskoskuja 3,Vantaa","Anttila"
"Apteekit","60.1643803","24.9366904","Bulevardi 13,Helsinki","Apteekki Bulevardia"
"Apteekit","60.2185602","24.8143645","Hevosenkenkä 3,Espoo","Apteekki Elixir"
"Apteekit","60.2373166","24.8908148","Kantelettarentie 1,Helsinki","Apteekki Isokannel"
"Apteekit","60.2316628","24.9329614","Pakilantie 10,Helsinki","Apteekki Maunula"
"Apteekit",NA,NA,"Itäkatu 1-5 A 23,Helsinki","Apteekki Medena"
"Apteekit","60.1621597","24.9403543","Fredrikinkatu 23,Helsinki","Apteekki Punavuori"
"Apteekit","60.1696454","24.9316022","Jaakonkatu 3,Helsinki","Apteekkimarket"
"Sisustusliikkeet","60.2233769","25.1170779","Linnavuorentie 19,Helsinki","Apuhara Oy"
"Apteekit","60.1802954","24.9512671","Hämeentie 111,Helsinki","Arabianrannan apteekki"
"Kirjastot","60.20827925","24.9764844672582","Hämeentie 135 A,Helsinki","Arabianrannan kirjasto"
"Ravintolat","60.1690528","24.9478405","Aleksanterinkatu 9,Helsinki","Armini Bar & Grill"
"Kahvilat","60.2188216","24.8128941","Leppävaarankatu 3-9,Espoo","Arnolds"
"Kahvilat","60.1620733","24.7375304","Piispansilta 11,Espoo","Arnolds"
"Kahvilat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Arnolds"
"Kahvilat","60.2373166","24.8908148","Kantelettarentie 1,Helsinki","Arnolds"
"Kahvilat","60.2092277","25.0763207","Itäkatu 1-7,Helsinki","Arnolds"
"Kahvilat","60.1700365","24.9415097","Kaivokatu 8,Helsinki","Arnolds"
"Kahvilat","60.1694564","24.9385667","Mannerheimintie 20,Helsinki","Arnolds"
"Kahvilat","60.2608563","24.8543158","Iskoskuja 3,Vantaa","Arnolds"
"Musiikkiliikkeet","60.1719812","24.9240467","Runeberginkatu 25,Helsinki","Aron Soitin"
"Ruokakaupat","60.1813336","24.9523485","Kolmas Linja 3,Helsinki","Aseanic Trading"
"Apteekit","60.1701633","24.9394863","Kaivokatu 6,Helsinki","Asematunnelin apteekki"
"Ruokakaupat","60.2021653","24.6658362","Kirstinmäki 5,Espoo","Asian Food Market"
"Sisustusliikkeet","60.1560293","24.6768562","Martinsillantie 2,Espoo","Asko"
"Sisustusliikkeet","60.2197141","24.6644446","Espoontie 25,Espoo","Asko"
"Sisustusliikkeet","60.2102866","25.0615535","Varikkotie 2,Helsinki","Asko"
"Sisustusliikkeet","60.278422","24.8218007","Martinkyläntie 47,Vantaa","Asko"
"Sisustusliikkeet","60.27984145","25.0818516560882","Porttisuontie 1,Vantaa","Asko"
"Kahvilat","60.201723","25.1288825","Meri-Rastilan tie 14 B,Helsinki","Asukaskahvila Fokka"
"Elektroniikkaliikkeet","60.1833439","24.9472443","Kolmas Linja 19,Helsinki","Audiodivari"
"Sekatavarakaupat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Aurinko"
"Autokorjaamot","60.2013826","25.0472231","Sahaajankatu 26,Helsinki","Autokorjaamo Master"
"Pesulat","60.2431419","24.8489114","Malminkartanonkuja 1,Helsinki","Autopesu-Center"
"Pesulat","60.1984544","25.0409633","Mekaanikonkatu 43,Helsinki","Autopesu-Center"
